Material_Name,Embodied_Carbon_kgCO2e_kg,Data_Source
CEM II/A-L - 13% limestone,0.7363394805,ICE Database V5.0 (Circular Ecology)
CEM II/B-L- 28% limestone,0.6121169579999999,ICE Database V5.0 (Circular Ecology)
CEM II/A-LL - 13% limestone,0.7363394805,ICE Database V5.0 (Circular Ecology)
CEM II/B-LL - 28% limestone,0.6121169579999999,ICE Database V5.0 (Circular Ecology)
CEM II/A-M - 16% cement replacement,0.7217427599999999,ICE Database V5.0 (Circular Ecology)
CEM II/B-M - 28% cement replacement,0.6300505799999998,ICE Database V5.0 (Circular Ecology)
CEM III/A - 50.5% GGBS,0.4964458799999999,ICE Database V5.0 (Circular Ecology)
CEM III/B - 73% GGBS,0.34159547999999995,ICE Database V5.0 (Circular Ecology)
CEM III/C - 88% GGBS,0.23836187999999997,ICE Database V5.0 (Circular Ecology)
CEM IV/A - 23% cement replacement,0.65080383,ICE Database V5.0 (Circular Ecology)
CEM IV/B - 46% cement replacement,0.46180855499999995,ICE Database V5.0 (Circular Ecology)
CEM V/A - 24% GGBS and 24% cement replacement,0.479032044,ICE Database V5.0 (Circular Ecology)
CEM V/B - 36% GGBS and 36% cement replacement,0.30415204425,ICE Database V5.0 (Circular Ecology)
Mortar (1:3 cement:sand mix),0.18475615727002967,ICE Database V5.0 (Circular Ecology)
Mortar (1:4),0.15074442446043165,ICE Database V5.0 (Circular Ecology)
Mortar (1:5),0.12768214285714286,ICE Database V5.0 (Circular Ecology)
Mortar (1:6),0.11101494800693242,ICE Database V5.0 (Circular Ecology)
Mortar (1:½:4½ Cement:Lime:Sand mix),0.15824648562300317,ICE Database V5.0 (Circular Ecology)
Mortar (1:1:6 Cement:Lime:Sand mix),0.143406353820598,ICE Database V5.0 (Circular Ecology)
Mortar (1:2:9 Cement:Lime:Sand mix),0.12733382352941178,ICE Database V5.0 (Circular Ecology)
General concrete admixtures – Average of data collected,1.6661666666666666,ICE Database V5.0 (Circular Ecology)
"Concrete admixtures – Air entrainers, Europe",0.527,ICE Database V5.0 (Circular Ecology)
Concrete admixtures – Hardening Accelerators,2.28,ICE Database V5.0 (Circular Ecology)
"Concrete admixtures – Plasticisers and
Superplasticisers",1.88,ICE Database V5.0 (Circular Ecology)
Concrete admixtures – Retarders,1.31,ICE Database V5.0 (Circular Ecology)
Concrete admixtures – Set Accelerators,1.33,ICE Database V5.0 (Circular Ecology)
Concrete admixtures – Water Resisting Admixtures,2.67,ICE Database V5.0 (Circular Ecology)
"Ceramic, Porcelain Tile",0.7579433273832464,ICE Database V5.0 (Circular Ecology)
"Ceramic, Sanitary",1.9297641751660193,ICE Database V5.0 (Circular Ecology)
"Ceramic, Tile",0.7962672936688762,ICE Database V5.0 (Circular Ecology)
General,0.10336134453781512,ICE Database V5.0 (Circular Ecology)
GEN 0 (6/8 MPa),0.06337170209286469,ICE Database V5.0 (Circular Ecology)
GEN 1 (8/10 MPa),0.08714664250597447,ICE Database V5.0 (Circular Ecology)
GEN 2 (12/15 MPa),0.09417466980381356,ICE Database V5.0 (Circular Ecology)
GEN 3 (16/20 MPa),0.10106030596588982,ICE Database V5.0 (Circular Ecology)
20/25 MPa,0.10868092490927672,ICE Database V5.0 (Circular Ecology)
25/30 MPa,0.11548023907564679,ICE Database V5.0 (Circular Ecology)
28/35 MPa,0.12228881572230957,ICE Database V5.0 (Circular Ecology)
32/40 MPa,0.1341708640708405,ICE Database V5.0 (Circular Ecology)
35/45 MPa,0.1443346867478302,ICE Database V5.0 (Circular Ecology)
40/50 Mpa,0.15446924778855348,ICE Database V5.0 (Circular Ecology)
PAV1,0.12228612690521487,ICE Database V5.0 (Circular Ecology)
PAV2,0.13417480946000002,ICE Database V5.0 (Circular Ecology)
20/25 (20/25 MPa),0.11170495534437502,ICE Database V5.0 (Circular Ecology)
25/30 (25/30 MPa),0.11873999718229167,ICE Database V5.0 (Circular Ecology)
28/35 (28/35 MPa),0.12574544134895832,ICE Database V5.0 (Circular Ecology)
32/40 (32/40 MPa),0.13798030391458332,ICE Database V5.0 (Circular Ecology)
35/45 (32/40 MPa),0.1484613389659375,ICE Database V5.0 (Circular Ecology)
40/50 (40/50 MPa),0.15896506556525,ICE Database V5.0 (Circular Ecology)
Per kg of concrete,0.13798425027074998,ICE Database V5.0 (Circular Ecology)
% Cement Replacement - Fly Ash,0.15,ICE Database V5.0 (Circular Ecology)
% Cement Replacement - Blast Furnace Slag,0.25,ICE Database V5.0 (Circular Ecology)
1:1:2 Cement:Sand:Aggregate,0.19286256641690144,ICE Database V5.0 (Circular Ecology)
1:1.5:3 ,0.14371884838205132,ICE Database V5.0 (Circular Ecology)
1:2:4,0.11558010660403227,ICE Database V5.0 (Circular Ecology)
1:2.5:5,0.09735068917308967,ICE Database V5.0 (Circular Ecology)
1:3:6 ,0.08529516501737891,ICE Database V5.0 (Circular Ecology)
1:4:8,0.06875184890837002,ICE Database V5.0 (Circular Ecology)
100 kg CEM I  per m3 concrete,0.04839816961610644,ICE Database V5.0 (Circular Ecology)
V1.0,0.05553362161932774,ICE Database V5.0 (Circular Ecology)
100 kg average UK cement per m3 concrete,0.04709111079257704,ICE Database V5.0 (Circular Ecology)
% Cement Replacement - pfa,0.3,ICE Database V5.0 (Circular Ecology)
100 kg total cementitious content per m3 concrete,0.04839816961610644,ICE Database V5.0 (Circular Ecology)
Select From Drop Down List,0.13847653758214284,ICE Database V5.0 (Circular Ecology)
Concrete - 50% ggbs cement replacement - with total cementitious content of 320 kg per m3 of concrete,0.09920915861960786,ICE Database V5.0 (Circular Ecology)
Concrete - 30% pfa cement replacement - with total cementitious content of 320 kg per m3 of concrete,0.11165643256918767,ICE Database V5.0 (Circular Ecology)
Concrete 40/50 with average UK additions cement,0.17296924778855347,ICE Database V5.0 (Circular Ecology)
"precast concrete pipe, DN600 unreinforced",67.62892099412497,ICE Database V5.0 (Circular Ecology)
"precast concrete pipe, DN600 unreinforced per kg",0.13858385449615773,ICE Database V5.0 (Circular Ecology)
"precast concrete paving (Blocks, Slabs, Channels and Kerbs)",0.1236477558983729,ICE Database V5.0 (Circular Ecology)
precast concrete beams and columns -steel reinforced with world average steel,0.23577543783014795,ICE Database V5.0 (Circular Ecology)
As above but with European recycled steel rebar,0.18275043783014802,ICE Database V5.0 (Circular Ecology)
"precast hollowcore concrete flooring, 150mm, prestressed steel reinforced with world average steel",53.49852039986931,ICE Database V5.0 (Circular Ecology)
"concrete block, medium density solid, average strength, per kg",0.08524137318131832,ICE Database V5.0 (Circular Ecology)
